,receiptId,brandCode,barcode,description,finalPrice,partnerItemId,pointsEarned,pointsPayerId,quantityPurchased,rewardsGroup,rewardsProductPartnerId,targetPrice,userFlaggedNewItem,needsFetchReview
0,5ff1e1eb0a720f0523000575,,4011,ITEM NOT FOUND,26.00,1,,,5.0,,,,True,False
1,5ff1e1bb0a720f052300056b,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
2,5ff1e1bb0a720f052300056b,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,2,,5332f5fbe4b03c9a25efd0ba,1.0,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,True,True
3,5ff1e1f10a720f052300057a,,,,,1,,,,,,,True,False
4,5ff1e1ee0a7214ada100056f,,4011,ITEM NOT FOUND,28.00,1,,,4.0,,,,True,False
5,5ff1e1d20a7214ada1000561,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
6,5ff1e1d20a7214ada1000561,,1234,,2.56,2,,,3.0,,,,True,True
7,5ff1e1e40a7214ada1000566,,4011,ITEM NOT FOUND,3.25,1,,5332f5fbe4b03c9a25efd0ba,1.0,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,,False
8,5ff1e1cd0a720f052300056f,MISSION,,MSSN TORTLLA,2.23,1009,,,1.0,,,,,
9,5ff1e1a40a720f0523000569,BRAND,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,0,,5332f5f3e4b03c9a25efd0ae,1.0,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,,,
10,5ff1e1ed0a7214ada100056e,,4011,ITEM NOT FOUND,20.00,1,,,5.0,,,,True,False
11,5ff1e1eb0a7214ada100056b,,4011,ITEM NOT FOUND,20.00,1,,,3.0,,,,True,False
12,5ff1e1c50a720f052300056c,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
13,5ff1e1a10a720f0523000568,,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,1,,5332f5f3e4b03c9a25efd0ae,5.0,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,,,True
14,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,1,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
15,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,2,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
16,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,3,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
17,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,4,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
18,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,5,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
19,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,6,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
20,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,7,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
21,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,8,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
22,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,9,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
23,5ff1e1b60a7214ada100055c,,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,10,870.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,,
24,5f9c74f70a7214ad07000037,,075925306254,,1,1,,,1.0,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,,
25,5f9c74f70a7214ad07000037,,,,,2,,,,,,,True,True
26,5f9c74f70a7214ad07000037,,,,,3,,,,,,,True,True
27,5f9c74f70a7214ad07000037,,,,,4,,,,,,,True,True
28,5f9c74f70a7214ad07000037,,,,,5,,,,,,,True,True
29,5f9c74f70a7214ad07000037,,,,,6,,,,,,,True,True
30,5f9c74f70a7214ad07000037,,,,,7,,,,,,,True,True
31,5f9c74f70a7214ad07000037,,,,,8,,,,,,,True,True
32,5f9c74f70a7214ad07000037,,,,,9,,,,,,,True,True
33,5f9c74f70a7214ad07000037,,,,,10,,,,,,,True,True
34,5f9c74f70a7214ad07000037,,,,,11,,,,,,,True,True
35,5ff1e1b20a7214ada100055a,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
36,5ff1e1e90a7214ada1000569,,,,,1,,,,,,,True,True
37,5ff1e1e90a7214ada1000569,,,,,2,,,,,,,True,True
38,5ff1e1df0a7214ada1000564,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,False
39,5ff1e1df0a7214ada1000564,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,2,,5332f5fbe4b03c9a25efd0ba,1.0,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,800,True,False
40,5ff1e1b40a7214ada100055b,,075925306254,,1,1,,,1.0,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,
41,5ff1e1b40a7214ada100055b,,,,,2,,,,,,,True,True
42,5ff1e1b40a7214ada100055b,,,,,3,,,,,,,True,True
43,5ff1e1b40a7214ada100055b,,,,,4,,,,,,,True,True
44,5ff1e1b40a7214ada100055b,,,,,5,,,,,,,True,True
45,5ff1e1b40a7214ada100055b,,,,,6,,,,,,,True,True
46,5ff1e1b40a7214ada100055b,,,,,7,,,,,,,True,True
47,5ff1e1b40a7214ada100055b,,,,,8,,,,,,,True,True
48,5ff1e1b40a7214ada100055b,,,,,9,,,,,,,True,True
49,5ff1e1b40a7214ada100055b,,,,,10,,,,,,,True,True
50,5ff1e1b40a7214ada100055b,,,,,11,,,,,,,True,True
51,5ff1e1eb0a720f0523000576,,4011,ITEM NOT FOUND,26.00,1,,,2.0,,,,True,False
52,5ff1e1c80a720f052300056d,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
53,5ff1e1c80a720f052300056d,,1234,,,2,,,,,,,True,True
54,5f9c74f90a7214ad07000038,,075925306254,,1,1,,,1.0,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,False
55,5f9c74f90a7214ad07000038,,075925306254,,10.00,2,,,2.0,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,True,False
56,5f9c74f90a7214ad07000038,,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,3,30.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,True,False
57,5f9c74f90a7214ad07000038,,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,4,30.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,True,False
58,5f9c74f90a7214ad07000038,,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,5,30.0,5332f709e4b03c9a25efd0f1,1.0,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77,True,False
59,5ff1e1960a720f0523000567,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
60,5ff1e1ec0a7214ada100056c,,4011,ITEM NOT FOUND,21.00,1,,,2.0,,,,True,False
61,5ff1e1d70a720f0523000571,,041000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,10.0,5332f5f6e4b03c9a25efd0b4,1.0,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,800,,
62,5ff1e1d70a720f0523000571,,2700719497082,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,2,10.0,5332f5f6e4b03c9a25efd0b4,1.0,NEXXUS HAIR CARE,5332f5f6e4b03c9a25efd0b4,800,,
63,5ff1e1c60a7214ada100055e,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
64,5ff1e1c60a7214ada100055e,,1234,,,2,,,,,,,True,True
65,5ff1e1ee0a7214ada1000570,,4011,ITEM NOT FOUND,27.00,1,,,5.0,,,,True,False
66,5ff1e1cf0a720f0523000570,,4011,ITEM NOT FOUND,1,1,,,1.0,,,,,
67,5ff1e1cf0a720f0523000570,,1234,,,2,,,,,,,True,True
68,5ff1e1e10a720f0523000572,,079400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,10.0,5332f5f6e4b03c9a25efd0b4,1.0,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,800,,False
69,5ff1e1d40a7214ada1000562,,,DELETED ITEM,1,1,,,1.0,,,,,
70,5ff1e1d40a7214ada1000562,,051500720011,JIF CRMY PNT BTR JAR 40 OZ,2,2,,,2.0,,,,,
71,5ff1e1ee0a720f0523000578,,4011,ITEM NOT FOUND,27.00,1,,,4.0,,,,True,False
72,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
73,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,2,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
74,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,3,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
75,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,4,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
76,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,5,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
77,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,6,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
78,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,7,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
79,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,8,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
80,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,9,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
81,5ff371030a7214ada10005a5,,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,10,5.0,559c2234e4b06aca36af13c6,1.0,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,800,,
82,5ff36dcc0a720f05230005b1,,071040063102,,0.99,1,,,1.0,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,,,
83,5ff36c750a7214ada100058f,,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,1,50.0,559c2234e4b06aca36af13c6,1.0,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,800,,
84,5ff36c750a7214ada100058f,,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,2,50.0,559c2234e4b06aca36af13c6,1.0,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,800,,
